EPCI	CAPACITE 2022	OUVERTURES 2022	FERMETURES 2021	EVOL NB	EVOL 2022-2021 %
CC du Périgord Nontronnais	11	0	6	-6	-0.352941176470588
CC de Montaigne Montravel et Gurson	17	0	4	-4	-0.19047619047619
CC du Pays de Saint-Aulaye	19	10	6	4	0.266666666666667
CC Loue-Lison	345	6	4	2	0.00583090379008744
CC de Montbenoît	71	18	27	-9	-0.1125
CA Pays de Montbéliard Agglomération	44	8	34	-26	-0.371428571428571
CU Grand Besançon Métropole	125	8	7	1	0.00806451612903225
CC des Portes du Haut-Doubs	153	0	14	-14	-0.0838323353293413
CC du Plateau de Russey	59	0	0	0	0
CC du Doubs Baumois	53	0	36	-36	-0.404494382022472
CC du Pays de Sancey-Belleherbe	114	8	0	8	0.0754716981132075
CC du Plateau de Frasne et du Val de Drugeon (CFD)	11	0	0	0	0
CC des Deux Vallées Vertes	58	4	12	-8	-0.121212121212121
CC du Pays de Maîche	129	0	8	-8	-0.0583941605839416
CC des Lacs et Montagnes du Haut-Doubs	310	31	66	-35	-0.101449275362319
CC Altitude 800	14	0	2	-2	-0.125
CC du Val Marnaysien	48	10	2	8	0.2
CC du Grand Pontarlier	12	0	12	-12	-0.5
CC du Val de Morteau	210	9	19	-10	-0.0454545454545454
CA Montélimar Agglomération	128	36	28	8	0.0666666666666667
CC du Val de Drôme en Biovallée	257	46	101	-55	-0.176282051282051
CC du Crestois et de Pays de Saillans Cœur de Drôme	84	6	26	-20	-0.192307692307692
CC du Diois	210	10	29	-19	-0.0829694323144105
CC des Baronnies en Drôme Provençale	660	67	136	-69	-0.0946502057613169
CA Valence Romans Agglo	342	24	21	3	0.00884955752212391
CC Drôme Sud Provence	147	32	41	-9	-0.0576923076923077
CC Dieulefit-Bourdeaux	128	56	21	35	0.376344086021505
CC du Royans-Vercors	274	6	134	-128	-0.318407960199005
CC Enclave des Papes-Pays de Grignan	215	31	41	-10	-0.0444444444444444
CC Vaison Ventoux	497	22	57	-35	-0.0657894736842105
CA Seine-Eure	163	2	34	-32	-0.164102564102564
CC du Vexin Normand	77	0	12	-12	-0.134831460674157
CC Roumois Seine	253	19	18	1	0.00396825396825395
CA Seine Normandie Agglomération	351	42	61	-19	-0.0513513513513514
CC Lieuvin Pays d'Auge	214	21	82	-61	-0.221818181818182
CC de Pont-Audemer / Val de Risle	135	4	73	-69	-0.338235294117647
CC Interco Normandie Sud Eure	176	31	78	-47	-0.210762331838565
CC Lyons Andelle	106	12	31	-19	-0.152
CC Intercom Bernay Terres de Normandie	304	13	118	-105	-0.256723716381418
CA Evreux Portes de Normandie	232	0	36	-36	-0.134328358208955
CC du Pays de Conches	90	4	11	-7	-0.0721649484536082
CC du Pays du Neubourg	107	4	18	-14	-0.115702479338843
CA Agglo du Pays de Dreux	130	9	18	-9	-0.064748201438849
CC Cœur de Beauce	131	10	5	5	0.0396825396825398
CC du Grand Châteaudun	232	9	56	-47	-0.168458781362007
CC du Perche	66	16	0	16	0.32
CA Chartres Métropole	191	20	0	20	0.116959064327485
CC des Portes Euréliennes d'Île-de-France	34	11	34	-23	-0.403508771929825
CC du Bonnevalais	51	0	0	0	0
CC du Pays Houdanais (C.C.P.H.)	131	23	0	23	0.212962962962963
CC Terres de Perche	79	0	0	0	0
CC Entre Beauce et Perche	64	0	12	-12	-0.157894736842105
CC des Forêts du Perche	33	0	12	-12	-0.266666666666667
CC Presqu'île de Crozon-Aulne maritime	457	40	82	-42	-0.0841683366733467
CA Quimperlé Communauté	308	47	44	3	0.00983606557377059
CC Cap Sizun - Pointe du Raz	357	30	178	-148	-0.293069306930693
CC du Pays Fouesnantais	421	40	18	22	0.0551378446115289
CC Monts d'Arrée Communauté	105	4	24	-20	-0.16
CC du Pays de Landivisiau	152	2	20	-18	-0.105882352941176
CA Morlaix Communauté	491	38	100	-62	-0.112115732368897
CC du Pays des Abers	289	52	20	32	0.124513618677043
CC du Pays d'Iroise	435	92	36	56	0.147757255936676
CA Quimper Bretagne Occidentale	293	20	60	-40	-0.12012012012012
CC Communauté Lesneven Côte des Légendes	359	47	23	24	0.0716417910447762
CC Poher communauté	30	0	0	0	0
CC Pleyben-Châteaulin-Porzay	420	18	33	-15	-0.0344827586206896
CC de Haute Cornouaille	84	0	8	-8	-0.0869565217391305
CC Haut-Léon Communauté	633	54	84	-30	-0.0452488687782805
CC du Pays Bigouden Sud	656	92	62	30	0.0479233226837061
CA Concarneau Cornouaille Agglomération	394	41	70	-29	-0.0685579196217494
CA du Pays de Landerneau-Daoulas	193	43	5	38	0.245161290322581
CC Douarnenez Communauté	132	13	18	-5	-0.0364963503649635
Brest Métropole	85	0	8	-8	-0.0860215053763441
CC du Haut Pays Bigouden	383	26	74	-48	-0.111368909512761
CC Pays d'Uzès	213	0	25	-25	-0.105042016806723
CC du Piémont Cévenol	129	0	20	-20	-0.134228187919463
CA du Gard Rhodanien	223	22	27	-5	-0.0219298245614035
CC de Petite Camargue	65	0	24	-24	-0.269662921348315
CA Alès Agglomération	368	27	99	-72	-0.163636363636364
CA du Grand Avignon (COGA)	200	9	12	-3	-0.0147783251231527
CC du Pays Viganais	130	0	27	-27	-0.171974522292994
CC Rhony. Vistre. Vidourle	16	0	10	-10	-0.384615384615385
CC du Pays de Sommières	31	0	3	-3	-0.0882352941176471
CC Beaucaire Terre d'Argence	69	4	31	-27	-0.28125
CC du Pont du Gard	51	8	2	6	0.133333333333333
CA de Nîmes Métropole	114	10	20	-10	-0.0806451612903226
CC Causses Aigoual Cévennes	133	5	11	-6	-0.0431654676258992
CC des Cévennes Gangeoises et Suménoises	157	15	20	-5	-0.0308641975308642
CC Terre de Camargue	18	0	0	0	0
CC des Terres du Lauragais	201	12	17	-5	-0.0242718446601942
CC Cœur et Coteaux du Comminges	262	0	18	-18	-0.0642857142857143
CC Pyrénées Haut Garonnaises	647	24	49	-25	-0.0372023809523809
CC Cagire Garonne Salat	183	47	45	2	0.011049723756906
Toulouse Métropole	110	16	20	-4	-0.0350877192982456
CC du Bassin Auterivain Haut-Garonnais	76	16	81	-65	-0.460992907801418
CC Cœur de Garonne	112	0	21	-21	-0.157894736842105
CC des Coteaux du Girou	40	0	14	-14	-0.259259259259259
CC Val'Aïgo	38	15	0	15	0.652173913043478
CC des Hauts Tolosans	69	9	19	-10	-0.126582278481013
CC du Volvestre	92	6	4	2	0.0222222222222221
CC du Frontonnais	48	0	6	-6	-0.111111111111111
CA Le Muretain Agglo	83	0	2	-2	-0.0235294117647059
CC de la Gascogne Toulousaine	61	5	2	3	0.0517241379310345
CA du Sicoval	58	0	8	-8	-0.121212121212121
CC de la Save au Touch	14	0	19	-19	-0.575757575757576
CC Armagnac Adour	103	0	20	-20	-0.16260162601626
CC du Bas Armagnac	132	13	8	5	0.0393700787401574
CC Bastides et Vallons du Gers	98	3	5	-2	-0.02
CC Val de Gers	166	0	32	-32	-0.161616161616162
CC des Coteaux Arrats Gimone	129	0	0	0	0
CA Grand Auch Cœur de Gascogne	267	42	20	22	0.0897959183673469
CC Bastides de Lomagne	182	36	7	29	0.189542483660131
CC du Grand Armagnac	182	6	31	-25	-0.120772946859903
CC d'Aire-sur-l'Adour	102	4	4	0	0
CC Artagnan de Fezensac	172	0	36	-36	-0.173076923076923
CC de la Tenarèze	433	43	196	-153	-0.261092150170648
CC Astarac Arros en Gascogne	118	8	0	8	0.0727272727272728
CC de la Lomagne Gersoise	228	20	52	-32	-0.123076923076923
CC Cœur d'Astarac en Gascogne	286	0	127	-127	-0.307506053268765
CC du Saves	101	11	0	11	0.122222222222222
Bordeaux Métropole	88	0	4	-4	-0.0434782608695652
CA du Bassin d'Arcachon Nord	159	29	26	3	0.0192307692307692
CC Rurales de l'Entre-deux-Mers	56	0	12	-12	-0.176470588235294
CA Bassin d'Arcachon Sud (COBAS)	172	15	4	11	0.0683229813664596
CC Médoc Estuaire	16	0	0	0	0
