url_chaine	nom chaine	url groupe	nom groupe
https://hotels.ctrip.com/brand/h2202/	afixishospitality	https://hotels.ctrip.com/brand/g1416	afixishospitality
https://hotels.ctrip.com/brand/h2206/	ad hotels	https://hotels.ctrip.com/brand/g1420	ad hotels
https://hotels.ctrip.com/brand/h2209/	Aldemar	https://hotels.ctrip.com/brand/g1423	Aldemar
https://hotels.ctrip.com/brand/h2215/	aubergeresorts	https://hotels.ctrip.com/brand/g1430	aubergeresorts
https://hotels.ctrip.com/brand/h2216/	Anita Hotel	https://hotels.ctrip.com/brand/g1431	Anita Hotel
https://hotels.ctrip.com/brand/h2217/	Art Hotel	https://hotels.ctrip.com/brand/g1424	Art Hotel
https://hotels.ctrip.com/brand/h2226/	Anemi	https://hotels.ctrip.com/brand/g1438	Anemi
https://hotels.ctrip.com/brand/h2241/	Aphrodite	https://hotels.ctrip.com/brand/g1453	Aphrodite
https://hotels.ctrip.com/brand/h2262/	奥尼玛酒店集团	https://hotels.ctrip.com/brand/g1472	奥尼玛酒店集团
https://hotels.ctrip.com/brand/h2271/	阿尔斯酒店集团	https://hotels.ctrip.com/brand/g1481	阿尔斯酒店集团
https://hotels.ctrip.com/brand/h2272/	AG酒店集团	https://hotels.ctrip.com/brand/g1482	AG酒店集团
https://hotels.ctrip.com/brand/h2283/	APX hotels	https://hotels.ctrip.com/brand/g1492	APX hotels
https://hotels.ctrip.com/brand/h2288/	阿夸酒店集团	https://hotels.ctrip.com/brand/g1498	阿夸酒店集团
https://hotels.ctrip.com/brand/h2289/	阿提兰酒店集团	https://hotels.ctrip.com/brand/g1499	阿提兰酒店集团
https://hotels.ctrip.com/brand/h2301/	奥拉酒店集团	https://hotels.ctrip.com/brand/g1510	奥拉酒店集团
https://hotels.ctrip.com/brand/h2302/	奥利维亚酒店集团	https://hotels.ctrip.com/brand/g1511	奥利维亚酒店集团
https://hotels.ctrip.com/brand/h2303/	奥纳酒店集团	https://hotels.ctrip.com/brand/g1512	奥纳酒店集团
https://hotels.ctrip.com/brand/h2315/	Agenija	https://hotels.ctrip.com/brand/g1525	Agenija
https://hotels.ctrip.com/brand/h2323/	阿提卡21酒店集团	https://hotels.ctrip.com/brand/g1531	阿提卡21酒店集团
https://hotels.ctrip.com/brand/h2324/	阿克塞尔酒店集团	https://hotels.ctrip.com/brand/g1532	阿克塞尔酒店集团
https://hotels.ctrip.com/brand/h2340/	奥卡拉汉	https://hotels.ctrip.com/brand/g1548	奥卡拉汉集团
https://hotels.ctrip.com/brand/h2346/	Amritara Hotels & Resorts	https://hotels.ctrip.com/brand/g1553	Amritara Hotels & Resorts
https://hotels.ctrip.com/brand/h2352/	阿瑟莱	https://hotels.ctrip.com/brand/g1559	阿瑟莱
https://hotels.ctrip.com/brand/h2360/	Althoff hotels	https://hotels.ctrip.com/brand/g1565	Althoff hotels
https://hotels.ctrip.com/brand/h2362/	艾居	https://hotels.ctrip.com/brand/g1	首旅如家
https://hotels.ctrip.com/brand/h2371/	Anabuki Enterprise	https://hotels.ctrip.com/brand/g1574	Anabuki Enterprise
https://hotels.ctrip.com/brand/h2377/	ABaC酒店集团	https://hotels.ctrip.com/brand/g1580	ABaC酒店集团
https://hotels.ctrip.com/brand/h2380/	Aimbridge Hospitality	https://hotels.ctrip.com/brand/g1583	Aimbridge Hospitality
https://hotels.ctrip.com/brand/h2416/	Adresses Hotels	https://hotels.ctrip.com/brand/g1604	Adresses Hotels
https://hotels.ctrip.com/brand/h2434/	A25连锁酒店	https://hotels.ctrip.com/brand/g1621	A25连锁酒店
https://hotels.ctrip.com/brand/h2447/	A by Adina	https://hotels.ctrip.com/brand/g965	TFE Hotels
https://hotels.ctrip.com/brand/h2451/	Axioncom	https://hotels.ctrip.com/brand/g1632	Axioncom
https://hotels.ctrip.com/brand/h2461/	Agua Hotels	https://hotels.ctrip.com/brand/g1638	Agua Hotels
https://hotels.ctrip.com/brand/h2503/	At	https://hotels.ctrip.com/brand/g1662	atHotelGroup
https://hotels.ctrip.com/brand/h2518/	Adriagate	https://hotels.ctrip.com/brand/g1676	Adriagate.com
https://hotels.ctrip.com/brand/h2542/	Abode	https://hotels.ctrip.com/brand/g1689	Abode Hotels
https://hotels.ctrip.com/brand/h2552/	Alpen Resort Hotel	https://hotels.ctrip.com/brand/g1693	Alpen Resort Hotel
https://hotels.ctrip.com/brand/h2560/	Aisiki Accommodation	https://hotels.ctrip.com/brand/g1700	Aisiki Accommodation Ltd.
https://hotels.ctrip.com/brand/h2562/	ANA HOTELS	https://hotels.ctrip.com/brand/g1702	ANA HOTELS
https://hotels.ctrip.com/brand/h2616/	ASURE	https://hotels.ctrip.com/brand/g1736	ASURE酒店集团
https://hotels.ctrip.com/brand/h2647/	安德鲁布朗斯沃尔德酒店集团	https://hotels.ctrip.com/brand/g1758	安德鲁布朗斯沃尔德酒店集团
https://hotels.ctrip.com/brand/h2648/	阿波得酒店	https://hotels.ctrip.com/brand/g1758	安德鲁布朗斯沃尔德酒店集团
https://hotels.ctrip.com/brand/h2656/	ANATOLIA HOTELS	https://hotels.ctrip.com/brand/g1766	ANATOLIA Ηospitality
https://hotels.ctrip.com/brand/h2658/	ANATOLIA VILLAS	https://hotels.ctrip.com/brand/g1766	ANATOLIA Ηospitality
https://hotels.ctrip.com/brand/h2661/	阿拉贡酒店&SPA	https://hotels.ctrip.com/brand/g1768	阿拉贡酒店集团
https://hotels.ctrip.com/brand/h2665/	艾豪森	https://hotels.ctrip.com/brand/g1771	艾豪森
https://hotels.ctrip.com/brand/h2700/	Alegria Hotels	https://hotels.ctrip.com/brand/g1793	Alegria Hotels
https://hotels.ctrip.com/brand/h2701/	Ameron Hotel	https://hotels.ctrip.com/brand/g1794	Ameron Hotel
https://hotels.ctrip.com/brand/h2710/	Alua Hotels & Resorts	https://hotels.ctrip.com/brand/g1803	AMR Collection
https://hotels.ctrip.com/brand/h2714/	Aqualis	https://hotels.ctrip.com/brand/g1049	Hotusa
https://hotels.ctrip.com/brand/h2722/	Alchymist Luxury Group	https://hotels.ctrip.com/brand/g1809	Alchymist Luxury Group
https://hotels.ctrip.com/brand/h2725/	AXXOS	https://hotels.ctrip.com/brand/g1812	AXXOS
https://hotels.ctrip.com/brand/h2730/	Adriatic Holidays	https://hotels.ctrip.com/brand/g1817	Adriatic Holidays
https://hotels.ctrip.com/brand/h2769/	AllYouNeed Hotels	https://hotels.ctrip.com/brand/g1834	AllYouNeed Hotels
https://hotels.ctrip.com/brand/h2770/	Aminess	https://hotels.ctrip.com/brand/g1835	Aminess
https://hotels.ctrip.com/brand/h2771/	ANTIQUE APARTMENTS	https://hotels.ctrip.com/brand/g1836	ANTIQUE APARTMENTS
https://hotels.ctrip.com/brand/h2773/	Arena Hospitality Group	https://hotels.ctrip.com/brand/g1838	Arena Hospitality Group
https://hotels.ctrip.com/brand/h2774/	arte hotels	https://hotels.ctrip.com/brand/g1839	arte hotels
https://hotels.ctrip.com/brand/h2841/	Ave Hotels	https://hotels.ctrip.com/brand/g1914	Ave Hotels
https://hotels.ctrip.com/brand/h2871/	ACHAT Hotels	https://hotels.ctrip.com/brand/g1926	ACHAT Hotels
https://hotels.ctrip.com/brand/h2884/	阿斯顿酒店及度假村	https://hotels.ctrip.com/brand/g856	阿夸阿斯顿酒店
https://hotels.ctrip.com/brand/h2885/	阿夸酒店及度假村	https://hotels.ctrip.com/brand/g856	阿夸阿斯顿酒店
https://hotels.ctrip.com/brand/h2894/	acora Living the City	https://hotels.ctrip.com/brand/g1927	NOVUM Hospitality
https://hotels.ctrip.com/brand/h2897/	APARTMENTS NO.1	https://hotels.ctrip.com/brand/g1938	APARTMENTS NO.1
https://hotels.ctrip.com/brand/h2920/	A Perfect Stay	https://hotels.ctrip.com/brand/g1955	A PERFECT STAY
https://hotels.ctrip.com/brand/h2924/	AMANO Group	https://hotels.ctrip.com/brand/g1958	AMANO Group
https://hotels.ctrip.com/brand/h2925/	Anamar Hotels & Resorts	https://hotels.ctrip.com/brand/g1959	Anamar Hotels & Resorts
https://hotels.ctrip.com/brand/h2931/	阿贝斯特酒店	https://hotels.ctrip.com/brand/g1965	阿贝斯特酒店
https://hotels.ctrip.com/brand/h2935/	ARent	https://hotels.ctrip.com/brand/g1968	ARent
https://hotels.ctrip.com/brand/h2965/	AKA	https://hotels.ctrip.com/brand/g1994	AKA
